cat,ob,coder_a,coder_a_sub,coder_a_just,coder_b,coder_b_sub,coder_b_just,agree,pilot_exclude
CAT-01,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-02,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-03,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-04,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-05,A-006-01,partially_covered,partial_positive,Shared: limiting unnecessary sensitive-data exposure/collection. Missing: purpose-bound consent.,not_visible,—,(coder_b),0,1
CAT-06,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-07,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-08,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-09,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-10,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-01,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-02,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-03,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-04,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-05,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-06,A-006-04,partially_covered,partial_positive,Shared: user-facing auth/access controls. Missing: comparable-ease withdrawal.,not_visible,—,(coder_b),0,0
CAT-07,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-08,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-09,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-10,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
CAT-01,A-006-06,not_visible,—,RCM category-clean with no criterion evidence.,not_visible,—,(coder_b),1,0
