cat,ob,consensus,consensus_sub,consensus_just,reconciliation_source,coder_a,coder_b,pilot_exclude
CAT-01,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-02,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-03,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-04,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-05,A-006-01,partially_covered,partial_positive,Reconciled 2026-08-27 (pilot P04): shared limiting unnecessary sensitive-data exposure (CWE-200 family); missing purpose-bound consent. Side coder_a.,reconciliation_override,partially_covered,not_visible,1
CAT-06,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-07,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-08,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-09,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-10,A-006-01,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-01,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-02,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-03,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-04,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-05,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-06,A-006-04,not_visible,—,"Reconciled 2026-08-27: CAT-06 RCM can be authn/authz-clean with no consent-withdrawal flow; comparable-ease is consent-architecture (closed list §14–15), not a CAT-06 CWE observable. Side coder_b.",reconciliation_override,partially_covered,not_visible,0
CAT-07,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-08,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-09,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-10,A-006-04,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-01,A-006-06,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-02,A-006-06,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-03,A-006-06,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-04,A-006-06,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-05,A-006-06,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-06,A-006-06,partially_covered,partial_positive,Reconciled 2026-08-27 (pilot P03): shared access cessation via authz; missing consent-basis withdrawal and processor propagation. Side coder_a.,reconciliation_override,partially_covered,not_visible,1
CAT-07,A-006-06,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-08,A-006-06,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-09,A-006-06,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-10,A-006-06,not_visible,—,RCM category-clean with no criterion evidence.,agreed_dual,not_visible,not_visible,0
CAT-01,R-003-01,not_visible,—,Notice content obligations not in category CWE vocabulary.,agreed_dual,not_visible,not_visible,1
CAT-02,R-003-01,not_visible,—,Notice content obligations not in category CWE vocabulary.,agreed_dual,not_visible,not_visible,0
CAT-03,R-003-01,not_visible,—,Notice content obligations not in category CWE vocabulary.,agreed_dual,not_visible,not_visible,0
